surface_category,length_m,share
gravel,137090.49376356276,0.26896419402599175
unknown,111006.64951647854,0.21778909097970608
grass,107125.10642861355,0.21017371168137688
fine_gravel,45250.494262928885,0.08877904210992998
asphalt,41224.26454708368,0.08087979540976506
ground,24668.176411123633,0.048397638700987206
dirt,18746.19562155802,0.03677903009892036
compacted,14679.107612351714,0.02879962161917866
pebblestone,2346.9298589145174,0.00460455047326013
concrete,2126.2106210336156,0.004171511169856244
earth,1291.5432433094093,0.0025339385536501755
coarse_gravel,1141.4249353407174,0.002239414487080095
mud,1025.397311937483,0.002011774514703711
cobblestone,685.4275767255997,0.0013447721331804653
unpaved,569.2610644250763,0.0011168596682388206
paved,434.9319142647982,0.0008533130822197503
paving_stones,123.50698010839305,0.000242314068973522
gravel;fine_gravel,84.67659825475704,0.0001661309429794087
grass_paver,78.1347970634018,0.0001532962800016407
