name,place,n_segments,length_km,median_dist_m,p90_dist_m
Gonterskirchen,village,256,89.71388670973344,1187.1429433497883,2895.575462957222
Freienseen,village,185,59.74242958453696,1075.8659981567262,1959.5937665122112
Altenhain,village,95,51.748855734117306,1766.0444805118464,3478.156598129106
An der Ringelshöhe,hamlet,187,49.90623452689406,1068.5376554198695,1548.5440256962258
Wetterfeld,village,179,43.561172673284005,859.0563961274805,1360.7340753565456
Lauter,village,143,42.68400908610285,1100.5451908949594,1868.0421561910375
Laubach,town,164,35.7638378155274,922.6874091655473,1407.5651349492562
Ruppertsburg,village,100,33.025650223843016,681.6025437444098,1479.9481475678917
Friedrichshütte,hamlet,103,31.51673303937074,753.8090635540669,1453.6395502778862
Münster,village,98,25.764317854869383,656.7898752270394,1142.1553860194983
Röthges,village,75,24.41528465390067,720.1201962582464,1215.7333225249802
Wochenendgebiet Steinköppel,hamlet,57,21.855521162898704,798.6529206240566,2003.8033830633626
