segment_idx,NDVI_summer,NDWI_summer,NDBI_summer,NDVI_winter,NDWI_winter,NDBI_winter,VV_med,VH_med,VV_VH_ratio_med,VV_mean,VH_mean,VV_VH_ratio_mean,NDVI_diff,NDWI_diff,NDBI_diff,osm_surface,osm_tracktype,osm_id,label_weak
0,,,,,,,,,,,,,,,,unknown,unknown,8048829,unbekannt
1,,,,,,,,,,,,,,,,asphalt,unknown,8048891,versiegelt
2,,,,,,,,,,,,,,,,asphalt,unknown,8117280,versiegelt
3,,,,,,,,,,,,,,,,unknown,unknown,10662228,unbekannt
4,,,,,,,,,,,,,,,,asphalt,unknown,18821731,versiegelt
5,,,,,,,,,,,,,,,,asphalt,unknown,18822204,versiegelt
6,,,,,,,,,,,,,,,,asphalt,unknown,18822992,versiegelt
7,,,,,,,,,,,,,,,,asphalt,unknown,18822994,versiegelt
8,,,,,,,,,,,,,,,,asphalt,unknown,18822995,versiegelt
9,,,,,,,,,,,,,,,,asphalt,unknown,18825535,versiegelt
10,,,,,,,,,,,,,,,,asphalt,grade1,18826645,versiegelt
11,,,,,,,,,,,,,,,,fine_gravel,grade4,18826648,mineralisch
12,,,,,,,,,,,,,,,,paving_stones,unknown,18931565,unbekannt
13,,,,,,,,,,,,,,,,asphalt,unknown,18931566,versiegelt
14,,,,,,,,,,,,,,,,asphalt,unknown,18931571,versiegelt
15,,,,,,,,,,,,,,,,asphalt,unknown,18931575,versiegelt
16,,,,,,,,,,,,,,,,paving_stones,unknown,22931366,unbekannt
17,,,,,,,,,,,,,,,,unknown,unknown,22931445,unbekannt
18,,,,,,,,,,,,,,,,unknown,unknown,22932554,unbekannt
19,,,,,,,,,,,,,,,,asphalt,unknown,22932555,versiegelt
20,,,,,,,,,,,,,,,,asphalt,unknown,22932561,versiegelt
21,,,,,,,,,,,,,,,,unknown,unknown,22932564,unbekannt
22,,,,,,,,,,,,,,,,cobblestone,unknown,22932568,unbekannt
23,,,,,,,,,,,,,,,,unknown,unknown,22932633,unbekannt
24,,,,,,,,,,,,,,,,asphalt,unknown,23264666,versiegelt
25,,,,,,,,,,,,,,,,unknown,unknown,23264948,unbekannt
26,,,,,,,,,,,,,,,,asphalt,unknown,23264950,versiegelt
27,,,,,,,,,,,,,,,,paving_stones,unknown,23372978,unbekannt
28,,,,,,,,,,,,,,,,paving_stones,unknown,23372980,unbekannt
29,,,,,,,,,,,,,,,,paving_stones,unknown,23373016,unbekannt
30,,,,,,,,,,,,,,,,paving_stones,unknown,23373017,unbekannt
31,,,,,,,,,,,,,,,,paving_stones,unknown,23373026,unbekannt
32,,,,,,,,,,,,,,,,paving_stones,unknown,23373030,unbekannt
33,,,,,,,,,,,,,,,,paving_stones,unknown,23375538,unbekannt
34,,,,,,,,,,,,,,,,unknown,unknown,23375549,unbekannt
35,,,,,,,,,,,,,,,,asphalt,unknown,23385404,versiegelt
36,,,,,,,,,,,,,,,,asphalt,unknown,23385405,versiegelt
37,,,,,,,,,,,,,,,,unknown,grade2,23385407,unbekannt
38,,,,,,,,,,,,,,,,asphalt,unknown,23396232,versiegelt
39,,,,,,,,,,,,,,,,asphalt,unknown,23396233,versiegelt
40,,,,,,,,,,,,,,,,unknown,unknown,23396235,unbekannt
41,,,,,,,,,,,,,,,,paving_stones,unknown,23396333,unbekannt
42,,,,,,,,,,,,,,,,asphalt,unknown,23396444,versiegelt
43,,,,,,,,,,,,,,,,asphalt,unknown,23397414,versiegelt
44,,,,,,,,,,,,,,,,asphalt,unknown,23397471,versiegelt
45,,,,,,,,,,,,,,,,unknown,unknown,23398112,unbekannt
46,,,,,,,,,,,,,,,,asphalt,unknown,23398115,versiegelt
47,,,,,,,,,,,,,,,,asphalt,unknown,23739099,versiegelt
48,,,,,,,,,,,,,,,,gravel,grade2,23740612,mineralisch
49,,,,,,,,,,,,,,,,asphalt,unknown,23740613,versiegelt
50,,,,,,,,,,,,,,,,gravel,unknown,23823686,mineralisch
51,,,,,,,,,,,,,,,,gravel,unknown,23823687,mineralisch
52,,,,,,,,,,,,,,,,asphalt,unknown,23823690,versiegelt
53,,,,,,,,,,,,,,,,cobblestone,unknown,23823693,unbekannt
54,,,,,,,,,,,,,,,,asphalt,grade1,23823697,versiegelt
55,,,,,,,,,,,,,,,,asphalt,grade1,23823698,versiegelt
56,,,,,,,,,,,,,,,,asphalt,grade1,23823699,versiegelt
57,,,,,,,,,,,,,,,,asphalt,grade1,23823702,versiegelt
58,,,,,,,,,,,,,,,,asphalt,grade1,24001198,versiegelt
59,,,,,,,,,,,,,,,,asphalt,unknown,24033182,versiegelt
60,,,,,,,,,,,,,,,,gravel,grade2,24033184,mineralisch
61,,,,,,,,,,,,,,,,unknown,grade1,24579404,unbekannt
62,,,,,,,,,,,,,,,,asphalt,unknown,25006934,versiegelt
63,,,,,,,,,,,,,,,,asphalt,unknown,25006937,versiegelt
64,,,,,,,,,,,,,,,,asphalt,unknown,25024168,versiegelt
65,,,,,,,,,,,,,,,,asphalt,unknown,25024169,versiegelt
66,,,,,,,,,,,,,,,,asphalt,unknown,25024170,versiegelt
67,,,,,,,,,,,,,,,,asphalt,unknown,25024171,versiegelt
68,,,,,,,,,,,,,,,,asphalt,unknown,25024172,versiegelt
69,,,,,,,,,,,,,,,,unknown,unknown,25050509,unbekannt
70,,,,,,,,,,,,,,,,unknown,unknown,25050510,unbekannt
71,,,,,,,,,,,,,,,,fine_gravel,grade3,25050511,mineralisch
72,,,,,,,,,,,,,,,,unknown,unknown,25050512,unbekannt
73,,,,,,,,,,,,,,,,unknown,unknown,25050513,unbekannt
74,,,,,,,,,,,,,,,,compacted,grade2,25050515,mineralisch
75,,,,,,,,,,,,,,,,fine_gravel,grade2,25050516,mineralisch
76,,,,,,,,,,,,,,,,compacted,grade2,25050517,mineralisch
77,,,,,,,,,,,,,,,,gravel,grade3,25050518,mineralisch
78,,,,,,,,,,,,,,,,ground,grade1,25050521,unbekannt
79,,,,,,,,,,,,,,,,gravel,grade4,25050522,mineralisch
80,,,,,,,,,,,,,,,,paving_stones,unknown,25050524,unbekannt
81,,,,,,,,,,,,,,,,paving_stones,grade1,25050525,unbekannt
82,,,,,,,,,,,,,,,,unknown,grade2,25050530,unbekannt
83,,,,,,,,,,,,,,,,grass_paver,grade3,25050531,unbekannt
84,,,,,,,,,,,,,,,,unknown,grade2,25050532,unbekannt
85,,,,,,,,,,,,,,,,gravel,grade2,25050533,mineralisch
86,,,,,,,,,,,,,,,,grass,grade5,25050534,begrünt_erdig
87,,,,,,,,,,,,,,,,unknown,unknown,25050536,unbekannt
88,,,,,,,,,,,,,,,,unknown,unknown,25050537,unbekannt
89,,,,,,,,,,,,,,,,asphalt,unknown,25050538,versiegelt
90,,,,,,,,,,,,,,,,asphalt,unknown,25050541,versiegelt
91,,,,,,,,,,,,,,,,asphalt,unknown,25050542,versiegelt
92,,,,,,,,,,,,,,,,asphalt,unknown,25050543,versiegelt
93,,,,,,,,,,,,,,,,ground,grade3,25050544,unbekannt
94,,,,,,,,,,,,,,,,fine_gravel,grade2,25050545,mineralisch
95,,,,,,,,,,,,,,,,gravel,grade2,25050546,mineralisch
96,,,,,,,,,,,,,,,,unknown,grade2,25050547,unbekannt
97,,,,,,,,,,,,,,,,gravel,grade2,25050549,mineralisch
98,,,,,,,,,,,,,,,,fine_gravel,grade2,25050550,mineralisch
99,,,,,,,,,,,,,,,,fine_gravel,grade2,25050552,mineralisch
100,,,,,,,,,,,,,,,,asphalt,unknown,25050554,versiegelt
101,,,,,,,,,,,,,,,,sett,unknown,25050556,unbekannt
102,,,,,,,,,,,,,,,,grass,grade3,25050559,begrünt_erdig
103,,,,,,,,,,,,,,,,asphalt,grade1,25050560,versiegelt
